"","SpeciesAuthor","SpeciesAccepted","Authority","TaxonomicStatus","TPLVersion","InfraspecificAccepted","SpeciesEpithetAccepted","GenusAccepted","Genus","Family","Order","Class","DicotMonoc","AngioGymno","Phylum","Kingdom","GrowthType","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","CriteriaSize","CriteriaOntogeny","CriteriaAge","Population","LatDeg","LatMin","LatSec","LatNS","LonDeg","LonMin","LonSec","LonWE","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","Observation","MatrixDimension","SurvivalIssue"
"1","Alaria_nana","Alaria nana",NA,"NoMatch",1.1,NA,"nana","Alaria","Alaria","Alariaceae","Laminariales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Pfister; Wang","Ecology",2005,"10.1890/04-1952","Pfister Ecol 2005_pers_communication.xlsx",5,1997,2001,"5",1,"Based on size","Alariaceae","No","Tatoosh Island",48,24,0,"N",124,44,0,"W",1,"USA","N America","TCF","A","Mean","Unmanipulated","W",1997,NA,5,2001,NA,9,"Divided","1997 was El Nino Year",6,0.99575
"2","Alaria_nana","Alaria nana",NA,"NoMatch",1.1,NA,"nana","Alaria","Alaria","Alariaceae","Laminariales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Pfister; Wang","Ecology",2005,"10.1890/04-1952","Pfister Ecol 2005_pers_communication.xlsx",5,1997,2001,"5",1,"Based on size","Alariaceae","No","Tatoosh Island",48,24,0,"N",124,44,0,"W",1,"USA","N America","TCF","A","Individual","Unmanipulated","W",1997,NA,5,1997,NA,9,"Divided","El Nino year",6,1
"3","Alaria_nana","Alaria nana",NA,"NoMatch",1.1,NA,"nana","Alaria","Alaria","Alariaceae","Laminariales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Pfister; Wang","Ecology",2005,"10.1890/04-1952","Pfister Ecol 2005_pers_communication.xlsx",5,1997,2001,"5",1,"Based on size","Alariaceae","No","Tatoosh Island",48,24,0,"N",124,44,0,"W",1,"USA","N America","TCF","A","Individual","Unmanipulated","W",2001,NA,5,2001,NA,9,"Divided",NA,6,0.9915
"4","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1985,NA,7,1986,NA,7,"Divided",NA,9,0.7364
"5","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1985,NA,9,1986,NA,9,"Divided",NA,9,1.8582
"6","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1985,NA,10,1986,NA,10,"Divided",NA,9,0.6438
"7","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1986,NA,11,1986,NA,11,"Divided",NA,9,0.7906
"8","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1985,NA,12,1986,NA,12,"Divided",NA,9,0.9077
"9","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1986,NA,1,1987,NA,1,"Divided",NA,9,0.6732
"10","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1986,NA,2,1987,NA,2,"Divided",NA,9,0.2534
"11","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1986,NA,3,1987,NA,3,"Divided",NA,9,0.2427
"12","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1986,NA,4,1987,NA,4,"Divided",NA,9,0.7433
"13","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1986,NA,5,1987,NA,5,"Divided",NA,9,1.6734
"14","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1986,NA,6,1987,NA,6,"Divided",NA,9,0.9584
"15","Fucus_distichus","Fucus vesiculosus","L.","Unresolved",1.1,NA,"distichus","Fucus","Fucus","Fucaceae","Fucales","Phaeophyceae",NA,NA,"Heterokontophyta","Chromalveolata","Algae","Ang; de Wreede","Mar Ecol Prog Ser",1993,"10.3354/meps093253",NA,5,1985,1989,"12",1,"Yes","Fucaceae","No","False Creek",49,17,0,"N",123,7,0,"W",10,"CAN","N America","TCF","A","Mean","Unmanipulated","W",1986,NA,7,1987,NA,7,"Divided",NA,9,0.4339
